id,industry,product_type,purpose,country,loan_amount,currency,loan_term,payback_method,description,interest_rate
B10145,Technology,Republican,Expansion,Finland,4727563,EUR,18,Interest,"Morgan Richardson is seeking a loan for expansion in the technology sector. Based in Finland, they are hoping to raise €4727563.",9.72
B10146,Retail,Site,Product development,Netherlands,626869,EUR,18,Balloon payment,"Robert Watkins is seeking a loan for product development in the retail sector. Based in Netherlands, they are hoping to raise €626869.",14.85
B10147,Energy,Seven,Working capital,Belgium,2015343,EUR,36,Revenue share,"Deborah White is seeking a loan for working capital in the energy sector. Based in Belgium, they are hoping to raise €2015343.",5.86
B10148,Retail,Most,Socially responsible project,Ireland,21029,EUR,24,Interest,"Michael Schroeder is seeking a loan for socially responsible project in the retail sector. Based in Ireland, they are hoping to raise €21029.",5.94
B10149,Agriculture,Despite,Product development,Malta,960530,EUR,36,Amortized,"Raymond Fleming is seeking a loan for product development in the agriculture sector. Based in Malta, they are hoping to raise €960530.",3.19
B10150,Tourism,News,Product development,Italy,302237,EUR,12,Interest,"Vincent Estrada DDS is seeking a loan for product development in the tourism sector. Based in Italy, they are hoping to raise €302237.",0.66
B10151,Finance,War,Other,Latvia,1498274,EUR,36,Emotional reward,"Stephanie Ortiz is seeking a loan for other in the finance sector. Based in Latvia, they are hoping to raise €1498274. This is a socially meaningful initiative where financial return is not expected.",
B10152,Technology,Little,Working capital,Hungary,4963663,EUR,24,Interest,"Clifford Craig is seeking a loan for working capital in the technology sector. Based in Hungary, they are hoping to raise €4963663.",13.28
B10153,Healthcare,Alone,R&D,Portugal,453615,EUR,36,Revenue share,"Gerald Thomas is seeking a loan for r&d in the healthcare sector. Based in Portugal, they are hoping to raise €453615.",8.93
B10154,Real Estate,Seat,Growth,Latvia,2776430,EUR,36,Revenue share,"Adam Doyle is seeking a loan for growth in the real estate sector. Based in Latvia, they are hoping to raise €2776430.",2.86
B10155,Healthcare,Enjoy,Expansion,Germany,3011157,EUR,18,Amortized,"Natalie Johnson is seeking a loan for expansion in the healthcare sector. Based in Germany, they are hoping to raise €3011157.",14.08
B10156,Finance,Hear,Other,Greece,2912179,EUR,12,Balloon payment,"Scott Andrews is seeking a loan for other in the finance sector. Based in Greece, they are hoping to raise €2912179.",10.37
B10157,Construction,Heavy,Other,Italy,1603429,EUR,36,Amortized,"Debra Johnson is seeking a loan for other in the construction sector. Based in Italy, they are hoping to raise €1603429.",14.79
B10158,Agriculture,More,Product development,Sweden,3273992,EUR,36,Interest,"Dustin Brown is seeking a loan for product development in the agriculture sector. Based in Sweden, they are hoping to raise €3273992.",9.27
B10159,Finance,Magazine,Working capital,Portugal,4356260,EUR,18,Interest,"Dustin Santos is seeking a loan for working capital in the finance sector. Based in Portugal, they are hoping to raise €4356260.",14.56
B10160,Education,Response,Product development,Ireland,1592667,EUR,24,Revenue share,"Thomas Fox is seeking a loan for product development in the education sector. Based in Ireland, they are hoping to raise €1592667.",13.3
B10161,Education,Address,Product development,Czech Republic,4199964,EUR,18,Emotional reward,"Regina Harrison is seeking a loan for product development in the education sector. Based in Czech Republic, they are hoping to raise €4199964. This is a socially meaningful initiative where financial return is not expected.",
B10162,Food & Beverage,Scene,Socially responsible project,Belgium,1515153,EUR,36,Interest,"Christopher Dunn is seeking a loan for socially responsible project in the food & beverage sector. Based in Belgium, they are hoping to raise €1515153.",3.21
B10163,Transport,Management,Growth,Netherlands,3464182,EUR,12,Revenue share,"Edward Lynn is seeking a loan for growth in the transport sector. Based in Netherlands, they are hoping to raise €3464182.",7.9
B10164,Construction,List,Inventory,Greece,3111107,EUR,24,Revenue share,"Mrs. Kim Kennedy is seeking a loan for inventory in the construction sector. Based in Greece, they are hoping to raise €3111107.",14.15
B10165,Agriculture,Read,Inventory,France,763210,EUR,18,Balloon payment,"Katie Murphy is seeking a loan for inventory in the agriculture sector. Based in France, they are hoping to raise €763210.",7.92
B10166,Education,Will,Working capital,Latvia,3535875,EUR,12,Balloon payment,"John Baker is seeking a loan for working capital in the education sector. Based in Latvia, they are hoping to raise €3535875.",5.33
B10167,Healthcare,Bar,Other,Sweden,522558,EUR,12,Revenue share,"Robert Burnett is seeking a loan for other in the healthcare sector. Based in Sweden, they are hoping to raise €522558.",8.28
B10168,Finance,Investment,Product development,Malta,1696413,EUR,36,Emotional reward,"Brandi Williams is seeking a loan for product development in the finance sector. Based in Malta, they are hoping to raise €1696413. This is a socially meaningful initiative where financial return is not expected.",
B10169,Technology,Station,Socially responsible project,Spain,3116427,EUR,18,Amortized,"Anthony Adams is seeking a loan for socially responsible project in the technology sector. Based in Spain, they are hoping to raise €3116427.",7.09
B10170,Technology,Training,Inventory,Romania,2108044,EUR,18,Interest,"Amanda Henry is seeking a loan for inventory in the technology sector. Based in Romania, they are hoping to raise €2108044.",10.43
B10171,Finance,Allow,Other,France,4739008,EUR,36,Emotional reward,"Amanda Figueroa is seeking a loan for other in the finance sector. Based in France, they are hoping to raise €4739008. This is a socially meaningful initiative where financial return is not expected.",
B10172,Transport,Religious,Socially responsible project,Slovakia,3298838,EUR,18,Balloon payment,"Anna Lopez is seeking a loan for socially responsible project in the transport sector. Based in Slovakia, they are hoping to raise €3298838.",7.5
B10173,Retail,Same,Product development,Slovakia,952226,EUR,36,Interest,"Matthew Lewis is seeking a loan for product development in the retail sector. Based in Slovakia, they are hoping to raise €952226.",6.26
B10174,Real Estate,Condition,Growth,Netherlands,1366835,EUR,24,Amortized,"Stephanie Zimmerman is seeking a loan for growth in the real estate sector. Based in Netherlands, they are hoping to raise €1366835.",5.56
B10175,Transport,Back,Expansion,Cyprus,2810525,EUR,36,Interest,"Daniel Mcclure is seeking a loan for expansion in the transport sector. Based in Cyprus, they are hoping to raise €2810525.",6.57
B10176,Healthcare,Middle,Inventory,Spain,2318380,EUR,36,Revenue share,"Russell Jensen is seeking a loan for inventory in the healthcare sector. Based in Spain, they are hoping to raise €2318380.",2.71
B10177,Healthcare,Himself,Inventory,Bulgaria,4038860,EUR,24,Revenue share,"Danielle Crawford is seeking a loan for inventory in the healthcare sector. Based in Bulgaria, they are hoping to raise €4038860.",10.26
B10178,Food & Beverage,Kind,Growth,Romania,2270753,EUR,18,Amortized,"Ashley Mendez is seeking a loan for growth in the food & beverage sector. Based in Romania, they are hoping to raise €2270753.",4.95
B10179,Healthcare,Attack,Product development,Luxembourg,2138238,EUR,36,Revenue share,"Jennifer Figueroa is seeking a loan for product development in the healthcare sector. Based in Luxembourg, they are hoping to raise €2138238.",0.98
B10180,Construction,Office,Inventory,Denmark,4632967,EUR,24,Emotional reward,"Felicia Phillips is seeking a loan for inventory in the construction sector. Based in Denmark, they are hoping to raise €4632967. This is a socially meaningful initiative where financial return is not expected.",
B10181,Finance,Every,Inventory,Slovakia,2952648,EUR,12,Interest,"Jason Mullins is seeking a loan for inventory in the finance sector. Based in Slovakia, they are hoping to raise €2952648.",3.37
B10182,Finance,During,R&D,Hungary,376221,EUR,36,Balloon payment,"Troy Riley is seeking a loan for r&d in the finance sector. Based in Hungary, they are hoping to raise €376221.",4.51
B10183,Tourism,Police,R&D,Denmark,4491009,EUR,24,Balloon payment,"Daniel Davis is seeking a loan for r&d in the tourism sector. Based in Denmark, they are hoping to raise €4491009.",5.98
B10184,Education,Use,Other,Croatia,4722816,EUR,12,Amortized,"Mrs. Heather Decker is seeking a loan for other in the education sector. Based in Croatia, they are hoping to raise €4722816.",9.95
B10185,Energy,Understand,Growth,Croatia,1856432,EUR,12,Balloon payment,"Michelle Turner is seeking a loan for growth in the energy sector. Based in Croatia, they are hoping to raise €1856432.",8.01
B10186,Education,Miss,Expansion,Bulgaria,133414,EUR,36,Amortized,"Laura Holloway is seeking a loan for expansion in the education sector. Based in Bulgaria, they are hoping to raise €133414.",10.57
B10187,Food & Beverage,Matter,Other,Slovenia,1315586,EUR,18,Interest,"Ronald Garcia is seeking a loan for other in the food & beverage sector. Based in Slovenia, they are hoping to raise €1315586.",2.38
B10188,Real Estate,Cup,Working capital,Sweden,3961659,EUR,36,Emotional reward,"Anthony Gordon is seeking a loan for working capital in the real estate sector. Based in Sweden, they are hoping to raise €3961659. This is a socially meaningful initiative where financial return is not expected.",
B10189,Technology,Attorney,Socially responsible project,Cyprus,4573087,EUR,36,Interest,"Peter Drake is seeking a loan for socially responsible project in the technology sector. Based in Cyprus, they are hoping to raise €4573087.",2.36
B10190,Technology,Quality,Inventory,Netherlands,3640180,EUR,24,Balloon payment,"Michelle Hudson is seeking a loan for inventory in the technology sector. Based in Netherlands, they are hoping to raise €3640180.",2.62
B10191,Healthcare,Guess,Other,Romania,4782321,EUR,24,Amortized,"William Thomas is seeking a loan for other in the healthcare sector. Based in Romania, they are hoping to raise €4782321.",3.6
B10192,Construction,Thus,Inventory,Estonia,4571146,EUR,18,Revenue share,"Rachel Lee is seeking a loan for inventory in the construction sector. Based in Estonia, they are hoping to raise €4571146.",4.16
B10193,Transport,Account,Growth,Germany,3353084,EUR,36,Amortized,"Bobby Snyder DDS is seeking a loan for growth in the transport sector. Based in Germany, they are hoping to raise €3353084.",12.9
B10194,Construction,Forward,Expansion,Cyprus,1310225,EUR,12,Revenue share,"Kristen Barrett is seeking a loan for expansion in the construction sector. Based in Cyprus, they are hoping to raise €1310225.",11.61
B10195,Food & Beverage,Represent,Growth,Hungary,3477030,EUR,36,Balloon payment,"Tracey Johnson is seeking a loan for growth in the food & beverage sector. Based in Hungary, they are hoping to raise €3477030.",3.69
B10196,Retail,Maintain,Socially responsible project,France,548471,EUR,18,Amortized,"Kelly Trevino is seeking a loan for socially responsible project in the retail sector. Based in France, they are hoping to raise €548471.",4.02
B10197,Healthcare,Police,R&D,Latvia,3482321,EUR,36,Revenue share,"Vanessa Franco is seeking a loan for r&d in the healthcare sector. Based in Latvia, they are hoping to raise €3482321.",10.92
B10198,Healthcare,May,Product development,Ireland,2320129,EUR,12,Emotional reward,"Gary Rhodes is seeking a loan for product development in the healthcare sector. Based in Ireland, they are hoping to raise €2320129. This is a socially meaningful initiative where financial return is not expected.",
B10199,Finance,Possible,Inventory,Austria,116666,EUR,18,Revenue share,"Heather Shepherd is seeking a loan for inventory in the finance sector. Based in Austria, they are hoping to raise €116666.",12.06
B17900,Technology,Computer chip,R&D,Netherlands,10000,EUR,24,Interest,"I need an investment related to my hardware store that specializes in woodworking machinery. I have found a breakthrough for electric saws which can operate itself. This is both safer and more efficient. However, to further develop this I need a loan for R&D.",0.1
B15689,Agriculture,Solar-Irrigation Kits,Working capital,Germany,12000,EUR,24,Interest,"SunHarvest is a rural agri-tech company bringing solar-powered irrigation kits to smallholder farmers in Bavaria. Our mission is to make sustainable farming accessible and climate-resilient. With the loan, we aim to cover our operational costs during the growing season and deploy kits to 50+ new farmers. We believe food security and climate adaptation go hand-in-hand, and we build deep relationships with every farming partner.",5.0
B16630,Healthcare,Portable Diagnostics,R&D,Germany,15000,EUR,24,Interest,"At MediScope, we’re building portable diagnostic tools to bring preventative healthcare to underserved regions. Our team of engineers and physicians believes access to basic health metrics shouldn’t depend on location or income. We combine user-centered design with cutting-edge biosensors to deliver scalable impact. This funding round will allow us to run pilot tests in rural clinics and iterate with user feedback. We value transparency, precision, and public good.",5.0
B10067,Retail,Circular Fashion,Expansion,Germany,13000,EUR,24,Interest,"LoopWardrobe is a growing circular fashion startup focused on reducing textile waste through community-driven clothing rental and upcycling. With deep roots in Berlin’s creative economy, we combine fashion with sustainability. We’re seeking investment to expand our warehouse and scale our logistics platform. Our goal is to make circular fashion the default, not the niche — and this loan helps us get there.",5.0
B10557,Energy,EV Charging Infrastructure,Infrastructure,Germany,18000,EUR,24,Interest,"VoltEdge is developing modular electric vehicle charging hubs for small cities in Germany. We believe that equitable access to green mobility requires infrastructure in areas often left out of early adoption. Our systems are grid-optimized, locally sourced, and designed to fit into urban planning goals. With this funding, we aim to install 4 new pilot hubs. We care about clean energy, long-term partnerships with municipalities, and climate equity.",5.0
