id,industry,purpose,country,loan_amount,currency,loan_term,payback_method,description
L20143,"Tourism, Energy, Education",Socially responsible project,Cyprus,1440097,EUR,36,Interest,"Joseph Diaz wants to invest in socially responsible project initiatives in the tourism, energy, education sector(s). Located in Cyprus, they are offering up to €1440097."
L20144,"Tourism, Finance, Healthcare",Inventory,Estonia,2901065,EUR,24,Revenue share,"Benjamin Rose wants to invest in inventory initiatives in the tourism, finance, healthcare sector(s). Located in Estonia, they are offering up to €2901065."
L20145,Education,Product development,Spain,3032996,EUR,12,Amortized,"Julie Soto wants to invest in product development initiatives in the education sector(s). Located in Spain, they are offering up to €3032996."
L20146,Education,Other,Luxembourg,2036812,EUR,24,Amortized,"Keith Jackson wants to invest in other initiatives in the education sector(s). Located in Luxembourg, they are offering up to €2036812."
L20147,"Technology, Agriculture",Growth,Latvia,3554089,EUR,12,Interest,"James Garcia wants to invest in growth initiatives in the technology, agriculture sector(s). Located in Latvia, they are offering up to €3554089."
L20148,"Healthcare, Finance, Retail",Socially responsible project,Belgium,867510,EUR,36,Amortized,"Kimberly Johnson wants to invest in socially responsible project initiatives in the healthcare, finance, retail sector(s). Located in Belgium, they are offering up to €867510."
L20149,"Healthcare, Transport",Socially responsible project,Belgium,2584929,EUR,12,Emotional reward,"Christopher Bowen wants to invest in socially responsible project initiatives in the healthcare, transport sector(s). Located in Belgium, they are offering up to €2584929. They are motivated by social or environmental impact, not financial return."
L20150,"Technology, Education, Agriculture",Other,Spain,167313,EUR,12,Emotional reward,"Raymond Ward wants to invest in other initiatives in the technology, education, agriculture sector(s). Located in Spain, they are offering up to €167313. They are motivated by social or environmental impact, not financial return."
L20151,"Healthcare, Energy",Product development,Sweden,2050521,EUR,12,Emotional reward,"Sheena Richmond wants to invest in product development initiatives in the healthcare, energy sector(s). Located in Sweden, they are offering up to €2050521. They are motivated by social or environmental impact, not financial return."
L20152,"Technology, Energy",Socially responsible project,Portugal,4418489,EUR,24,Balloon payment,"Christopher Hall wants to invest in socially responsible project initiatives in the technology, energy sector(s). Located in Portugal, they are offering up to €4418489."
L20153,Retail,R&D,Ireland,3491012,EUR,24,Emotional reward,"Margaret Dominguez wants to invest in r&d initiatives in the retail sector(s). Located in Ireland, they are offering up to €3491012. They are motivated by social or environmental impact, not financial return."
L20154,"Transport, Education",Growth,Hungary,3168300,EUR,12,Emotional reward,"Jennifer Martin wants to invest in growth initiatives in the transport, education sector(s). Located in Hungary, they are offering up to €3168300. They are motivated by social or environmental impact, not financial return."
L20155,"Technology, Construction",Inventory,Belgium,2614828,EUR,18,Amortized,"Mr. James Welch wants to invest in inventory initiatives in the technology, construction sector(s). Located in Belgium, they are offering up to €2614828."
L20156,Education,Product development,Slovakia,2841721,EUR,18,Revenue share,"Katherine Acosta wants to invest in product development initiatives in the education sector(s). Located in Slovakia, they are offering up to €2841721."
L20157,Food & Beverage,Product development,Italy,3618183,EUR,24,Balloon payment,"Terry Brown wants to invest in product development initiatives in the food & beverage sector(s). Located in Italy, they are offering up to €3618183."
L20158,"Tourism, Transport",R&D,Italy,618447,EUR,12,Amortized,"David Young wants to invest in r&d initiatives in the tourism, transport sector(s). Located in Italy, they are offering up to €618447."
L20159,Technology,Inventory,Czech Republic,4048395,EUR,36,Amortized,"Javier Patterson wants to invest in inventory initiatives in the technology sector(s). Located in Czech Republic, they are offering up to €4048395."
L20160,"Construction, Real Estate",Growth,Latvia,79775,EUR,24,Interest,"James Patel wants to invest in growth initiatives in the construction, real estate sector(s). Located in Latvia, they are offering up to €79775."
L20161,"Agriculture, Technology",Working capital,Lithuania,724773,EUR,18,Interest,"Mr. Kyle Padilla wants to invest in working capital initiatives in the agriculture, technology sector(s). Located in Lithuania, they are offering up to €724773."
L20162,Technology,Working capital,Sweden,3837372,EUR,12,Interest,"Alexa House wants to invest in working capital initiatives in the technology sector(s). Located in Sweden, they are offering up to €3837372."
L20163,"Technology, Healthcare, Agriculture",Growth,Sweden,2372214,EUR,12,Emotional reward,"Gregory Martin wants to invest in growth initiatives in the technology, healthcare, agriculture sector(s). Located in Sweden, they are offering up to €2372214. They are motivated by social or environmental impact, not financial return."
L20164,"Food & Beverage, Construction, Education",Growth,Denmark,4381096,EUR,18,Interest,"Jennifer Vazquez wants to invest in growth initiatives in the food & beverage, construction, education sector(s). Located in Denmark, they are offering up to €4381096."
L20165,"Construction, Real Estate, Tourism",Product development,France,1284997,EUR,18,Interest,"George Patterson wants to invest in product development initiatives in the construction, real estate, tourism sector(s). Located in France, they are offering up to €1284997."
L20166,"Energy, Food & Beverage",Other,Spain,3257303,EUR,24,Revenue share,"William Pena wants to invest in other initiatives in the energy, food & beverage sector(s). Located in Spain, they are offering up to €3257303."
L20167,"Technology, Retail",Expansion,Luxembourg,3613374,EUR,24,Interest,"Donald Collins wants to invest in expansion initiatives in the technology, retail sector(s). Located in Luxembourg, they are offering up to €3613374."
L20168,Retail,Inventory,Latvia,3955044,EUR,36,Amortized,"Martin Dominguez wants to invest in inventory initiatives in the retail sector(s). Located in Latvia, they are offering up to €3955044."
L20169,Technology,Product development,Italy,4810090,EUR,24,Amortized,"Justin Cervantes wants to invest in product development initiatives in the technology sector(s). Located in Italy, they are offering up to €4810090."
L20170,"Technology, Healthcare",Socially responsible project,Ireland,437271,EUR,36,Revenue share,"Heidi Spears wants to invest in socially responsible project initiatives in the technology, healthcare sector(s). Located in Ireland, they are offering up to €437271."
L20171,"Tourism, Finance",R&D,Slovenia,4915227,EUR,18,Amortized,"Lisa Mcdonald wants to invest in r&d initiatives in the tourism, finance sector(s). Located in Slovenia, they are offering up to €4915227."
L20172,"Healthcare, Agriculture, Transport",Other,Bulgaria,3434114,EUR,36,Revenue share,"Latoya Vance wants to invest in other initiatives in the healthcare, agriculture, transport sector(s). Located in Bulgaria, they are offering up to €3434114."
L20173,Tourism,Inventory,Italy,4912965,EUR,36,Emotional reward,"Steven Davis wants to invest in inventory initiatives in the tourism sector(s). Located in Italy, they are offering up to €4912965. They are motivated by social or environmental impact, not financial return."
L20174,"Transport, Education",Product development,Spain,3594029,EUR,12,Interest,"Shawn Holt wants to invest in product development initiatives in the transport, education sector(s). Located in Spain, they are offering up to €3594029."
L20175,Agriculture,Inventory,Belgium,2530086,EUR,24,Emotional reward,"Stephanie Oneal wants to invest in inventory initiatives in the agriculture sector(s). Located in Belgium, they are offering up to €2530086. They are motivated by social or environmental impact, not financial return."
L20176,"Construction, Food & Beverage",Inventory,Poland,3481794,EUR,18,Emotional reward,"Joshua Collins wants to invest in inventory initiatives in the construction, food & beverage sector(s). Located in Poland, they are offering up to €3481794. They are motivated by social or environmental impact, not financial return."
L20177,"Retail, Real Estate",Growth,Italy,3803254,EUR,24,Interest,"Rebecca Cherry wants to invest in growth initiatives in the retail, real estate sector(s). Located in Italy, they are offering up to €3803254."
L20178,"Agriculture, Retail, Technology",Other,Finland,3966495,EUR,24,Interest,"Eric Rodriguez wants to invest in other initiatives in the agriculture, retail, technology sector(s). Located in Finland, they are offering up to €3966495."
L20179,"Tourism, Education",Socially responsible project,Belgium,2099059,EUR,24,Interest,"Robert Martinez wants to invest in socially responsible project initiatives in the tourism, education sector(s). Located in Belgium, they are offering up to €2099059."
L20180,"Agriculture, Technology",R&D,Estonia,4649360,EUR,24,Amortized,"Richard Everett wants to invest in r&d initiatives in the agriculture, technology sector(s). Located in Estonia, they are offering up to €4649360."
L20181,"Finance, Food & Beverage",Working capital,Bulgaria,1082083,EUR,12,Emotional reward,"Megan Evans wants to invest in working capital initiatives in the finance, food & beverage sector(s). Located in Bulgaria, they are offering up to €1082083. They are motivated by social or environmental impact, not financial return."
L20182,"Finance, Transport",Product development,France,1170553,EUR,18,Revenue share,"Blake Ford wants to invest in product development initiatives in the finance, transport sector(s). Located in France, they are offering up to €1170553."
L20183,"Finance, Tourism",Expansion,Spain,1670496,EUR,36,Balloon payment,"Mary Perkins wants to invest in expansion initiatives in the finance, tourism sector(s). Located in Spain, they are offering up to €1670496."
L20184,Transport,R&D,Greece,4172851,EUR,36,Emotional reward,"Brenda Vincent wants to invest in r&d initiatives in the transport sector(s). Located in Greece, they are offering up to €4172851. They are motivated by social or environmental impact, not financial return."
L20185,"Healthcare, Transport, Technology",Socially responsible project,Finland,3289828,EUR,24,Emotional reward,"Nicole West wants to invest in socially responsible project initiatives in the healthcare, transport, technology sector(s). Located in Finland, they are offering up to €3289828. They are motivated by social or environmental impact, not financial return."
L20186,Construction,Growth,Malta,3306504,EUR,18,Emotional reward,"Joshua Cox wants to invest in growth initiatives in the construction sector(s). Located in Malta, they are offering up to €3306504. They are motivated by social or environmental impact, not financial return."
L20187,Energy,Growth,Sweden,4461221,EUR,36,Amortized,"Joseph Harris wants to invest in growth initiatives in the energy sector(s). Located in Sweden, they are offering up to €4461221."
L20188,Food & Beverage,Working capital,Italy,3780106,EUR,36,Revenue share,"Lisa Williamson wants to invest in working capital initiatives in the food & beverage sector(s). Located in Italy, they are offering up to €3780106."
L20189,"Energy, Tourism",Other,Estonia,389154,EUR,36,Revenue share,"Gabriel Sherman wants to invest in other initiatives in the energy, tourism sector(s). Located in Estonia, they are offering up to €389154."
L20190,"Technology, Construction",Inventory,Cyprus,4247995,EUR,36,Balloon payment,"Seth Jensen wants to invest in inventory initiatives in the technology, construction sector(s). Located in Cyprus, they are offering up to €4247995."
L20191,"Food & Beverage, Tourism",Growth,Germany,4911733,EUR,24,Amortized,"Joshua Nelson wants to invest in growth initiatives in the food & beverage, tourism sector(s). Located in Germany, they are offering up to €4911733."
L20192,"Transport, Retail, Energy",Working capital,Italy,3866944,EUR,36,Amortized,"Matthew Ross wants to invest in working capital initiatives in the transport, retail, energy sector(s). Located in Italy, they are offering up to €3866944."
L20193,"Transport, Tourism, Technology",Socially responsible project,France,2967072,EUR,36,Amortized,"Jessica Johnson wants to invest in socially responsible project initiatives in the transport, tourism, technology sector(s). Located in France, they are offering up to €2967072."
L20194,"Energy, Finance",Product development,Latvia,4855858,EUR,36,Amortized,"Mary Reynolds wants to invest in product development initiatives in the energy, finance sector(s). Located in Latvia, they are offering up to €4855858."
L20195,Retail,Inventory,Bulgaria,3021972,EUR,18,Revenue share,"Mary Smith wants to invest in inventory initiatives in the retail sector(s). Located in Bulgaria, they are offering up to €3021972."
L20196,Energy,Inventory,Croatia,4859484,EUR,24,Amortized,"Natalie Scott wants to invest in inventory initiatives in the energy sector(s). Located in Croatia, they are offering up to €4859484."
L20197,"Healthcare, Energy, Construction",Growth,Croatia,3992472,EUR,36,Emotional reward,"Shannon Rivera MD wants to invest in growth initiatives in the healthcare, energy, construction sector(s). Located in Croatia, they are offering up to €3992472. They are motivated by social or environmental impact, not financial return."
L20198,"Real Estate, Healthcare",R&D,Latvia,2010883,EUR,36,Revenue share,"Catherine Gomez wants to invest in r&d initiatives in the real estate, healthcare sector(s). Located in Latvia, they are offering up to €2010883."
L20199,"Construction, Food & Beverage, Technology",R&D,Netherlands,3639193,EUR,18,Interest,"Dakota Hall wants to invest in r&d initiatives in the construction, food & beverage, technology sector(s). Located in Netherlands, they are offering up to €3639193."


